car_name,brand,budget,usage,fuel,family_size,priority,description,price,rating
Mercedes E-Class,Mercedes,20L+,highway,petrol,1-2,comfort,"Executive luxury sedan, best in class comfort, flagship",₹78.5L,4.8
Audi Q5,Audi,20L+,both,petrol,3-4,style,"Sporty luxury SUV, quattro AWD, tech forward",₹69.0L,4.6
Audi A6,Audi,20L+,highway,petrol,1-2,style,"Premium executive sedan, virtual cockpit, powerful",₹64.0L,4.6
Volvo XC60,Volvo,20L+,both,petrol,3-4,comfort,"Safest SUV, Scandinavian luxury, refined highway cruiser",₹68.8L,4.7
Volvo XC40 Recharge,Volvo,20L+,both,electric,3-4,style,"Electric luxury SUV, premium Volvo safety, Polestar power",₹56.9L,4.5
Porsche Macan,Porsche,20L+,both,petrol,3-4,performance,"Sports SUV, razor sharp handling, iconic Porsche badge",₹83.7L,4.8
Land Rover Defender,Land Rover,20L+,highway,diesel,5+,performance,"Ultimate off-roader, iconic British SUV, unmatched terrain",₹1.02Cr,4.7
Range Rover Evoque,Land Rover,20L+,both,petrol,3-4,style,"Luxury compact SUV, head turning design, premium",₹67.9L,4.6
Lexus ES 300h,Lexus,20L+,highway,petrol,1-2,comfort,"Japanese luxury hybrid, whisper quiet, ultra refined",₹64.9L,4.7
Jaguar F-Pace,Jaguar,20L+,both,petrol,3-4,performance,"British sports SUV, powerful, dramatic design",₹72.3L,4.5
Toyota Land Cruiser,Toyota,20L+,highway,diesel,5+,performance,"Legendary SUV, unstoppable off-road, supreme luxury",₹2.10Cr,4.9
Mahindra Scorpio Classic,Mahindra,10-20L,highway,diesel,5+,performance,"Original Scorpio, rugged, road presence, value diesel",₹13.2L,4.3
Isuzu D-Max,Isuzu,20L+,highway,diesel,5+,performance,"Pickup truck SUV, massive load capacity, unstoppable",₹19.9L,4.4
Force Gurkha,Force,10-20L,highway,diesel,3-4,performance,"Hardcore off-roader, military DNA, adventure king",₹16.9L,4.4
Maruti Suzuki Fronx,Maruti,5-10L,city,petrol,3-4,style,"Coupe SUV crossover, turbocharged, stylish young car",₹7.5L,4.3
